Instance,FCFS,SJF,SJF-P,RR
138,0.0,5.064064294346388,34.46296453484537,26.8577070750496
139,7.980840023919085,17.982886718389235,28.20511741869339,22.124914666796833
140,26.09081494782063,0,32.28600507009937,25.460580881731623
141,51.73580706542941,8.824468311746413,0,33.201799697167345
142,29.200731562608745,13.374598744938869,49.373897415555184,13.830786969334383
143,43.39237616728005,13.57400285146108,58.93199687600597,37.535673599114745
144,19.326512037763553,28.18701475115339,0,20.40197231173363
145,31.12480000998523,32.93486103226587,24.416205469087995,20.943800968597493
146,0.0,22.68174848675356,50.09895215708996,28.735473990302943
147,0.0,20.20057331164934,43.503629441409885,39.300778452082056
148,39.89903840408366,0,0.0,16.16164910227403
149,0,18.108429276037583,0.0,27.412487634183528
150,0.0,13.521762326013604,58.65880851085937,18.27427698558478
151,0.0,23.259434141886718,0,21.042121855156104
152,0.0,7.1070687960821575,0.0,16.048152495434863
153,0.0,0,0.0,22.87916627193195
154,36.76644446890454,0.0,0.0,31.269946216233606
155,34.366591168319594,0,0.0,24.351541368987824
156,0.0,7.355154853153017,0.0,14.247878817610285
157,23.769918865302095,0,42.12504918170501,32.359683800617894
158,21.723569631882924,26.195940507994337,26.403420880176515,21.217758142293366
159,0,0,24.651145614110273,24.47595490219934
160,40.13234754083764,15.747593689309015,36.05879266369705,28.326194909034136
161,5.966834079371028,12.349532300677886,29.429314545885827,23.75491477104389
162,0.0,12.989440098522152,76.89677158084764,33.300954618050966
163,21.481676993480125,11.540318151907243,23.878230294434907,41.063638883605336
164,0.0,10.074038213721074,28.680135382490896,21.498209632422515
165,0.0,26.77731515314765,0.0,45.50428914737496
166,49.42371666222281,0,47.9351721095059,21.941754087306144
167,0.0,19.187577515029854,34.00206636654034,18.048735709861234
168,0.0,14.755124648445804,35.65568373769948,40.725932842827824
169,0.0,31.248239921757,41.82397302115708,32.468664414686614
170,0.0,6.877105801965106,0,25.20011968399521
171,14.403714182404682,16.486707242226064,21.184044274391862,23.808417165334653
172,0,32.75425968855217,78.88873123682308,22.385793399625648
173,39.90757635732933,10.634804829074426,0.0,18.991925755283233
174,32.022330194325484,20.67640215760253,32.39402084196733,22.873643475195916
175,0.0,20.215223925950976,0.0,41.9737066914207
176,15.818208671292028,0,27.70857310376964,18.483488710217234
177,0.0,12.188595333397338,40.89370140787791,14.984903442596343
178,0.0,8.229621659178031,0.0,27.703862960854593
179,0.0,17.608929296754294,28.932767635514686,29.799991074037152
180,44.36769224157764,14.889104710171019,25.936849433298036,38.78774910823969
181,0.0,51.32985021062692,55.15229408965467,23.639362362936925
182,0.0,6.545148934671722,20.787135739860013,27.449090019190123
183,0.0,26.5046587757846,0,31.30297132375075
184,32.35180586566166,13.918256429363371,0,20.889294329082887
185,0.0,10.054772658477964,30.193868911110314,20.638406860113605
186,6.836830093812936,9.92288542618781,46.24063636423399,29.485038639665976
187,12.955940396167264,25.029236541017724,34.6388984075155,29.81657005547346
188,0.8273539072787615,6.324223150990478,0.0,19.284183763197195
189,0.0,15.548629887659327,0.0,24.590665000267645
190,0.0,7.4762329274597,52.16235531911995,19.065563915981205
191,0.0,17.212657740103737,44.81116796732283,35.56875688461466
192,0.0,11.38171307575578,42.966166331031935,22.646939539618
193,0,0,27.609040699963185,28.62551679347227
194,0.0,27.11543473255334,56.19972285522042,17.76398375345295
195,0.0,10.195091272603705,21.725277600596307,34.02299742442167
196,17.56224687476067,24.022277302263902,39.83702727291789,11.409880963635914
197,29.43326502807305,7.37287053860476,28.07844909600086,15.77001898082256
198,0,7.447895713879234,0,40.14860426649303
199,21.832057664004225,20.671934263059203,0.0,35.071448235112506
200,28.048833913113235,14.733259519638523,54.96204451216637,24.221493475166135
201,0.0,28.639698113774337,53.471766553903585,17.236684865586373
202,0.0,19.25739333879387,30.69494943054932,17.557993131631285
203,4.206793978784871,17.659929402219085,39.58380152146508,27.709639156913138
204,0.0,7.998329557127424,64.5173908541569,33.70897734112635
205,0.0,46.05285811272419,0.0,21.887743377088157
206,17.73112531639689,7.000016555223221,20.694148636771708,12.600429539478277
207,0,50.98332775906794,44.37363772168382,42.16474023571498
208,9.84698058579613,21.843433194574953,0.0,19.977653840063443
209,8.897378040372095,8.965598276847077,61.57504584237313,17.162823174768597
210,0,10.408613455193267,0.0,17.690597595601957
211,35.96432381255935,19.68308085723161,0.0,43.29281829838741
212,0.0,6.639296451668956,0.0,17.37092753884771
213,0.0,32.22763342437104,24.17134229252393,21.60524055995873
214,10.092039692019728,12.603325036946087,0.0,23.046177447929395
215,24.31674281901369,34.8017946104278,42.74315450333518,22.936487293264246
216,0.0,12.038916040726033,0.0,26.03444384419649
217,0.0,13.07869893322327,0.0,7.106057537769086
218,0.0,10.730861987202205,44.30780822494247,22.275107697093016
219,0,15.338556873903515,0.0,34.81652956986602
220,0.0,8.255064470259848,0,17.462474817957556
221,0.0,7.125800710046654,36.301645734510195,18.07395656329763
222,0,20.591600090070052,0.0,26.646669330383812
223,0.0,9.754052273395294,0.0,23.93400781350369
224,0.21715339527659552,0,35.85309102684827,9.040975371174827
225,0.0,42.14880833952176,32.088512661826215,25.995789591712438
226,24.242702910400038,38.983597034516436,0,28.690891062399384
227,35.164308620493536,19.95916668066,27.17741059531032,31.352300634720745
228,0.0,28.103534264625974,43.168144746335855,25.072900914607793
229,9.495565424703335,10.90893981132327,0,28.112369058258608
230,0,19.62200484474278,0.0,26.481951016256215
231,13.787125592632636,23.726278800330356,0.0,28.839639470563124
232,0.0,9.58946270784195,0.0,14.505343403449482
233,0.0,26.906224105019636,32.64533395946964,17.020112623734736
234,0,18.949651070465176,37.107958372453794,16.341562799938092
235,27.711394522261145,14.72991634320964,0.0,36.01081833025897
236,0,8.338636046756477,0.0,24.2705228827373
237,0,21.00582477020357,33.350092656033745,20.702266473543837
238,28.71170182908914,11.715807822378913,52.408002151107844,21.46143131434851
239,31.090820920067753,11.124669965059764,56.68355381535674,32.43273777057541
240,0.0,14.23782269028608,0,25.30793632797221
241,0.0,10.549017367042584,0,25.741250865538284
242,0,44.22868191333139,81.90892691427365,18.45889992867591
243,0.0,15.316571839193497,31.268137532587502,23.731323302259707
244,41.41562028583343,6.467755629420231,26.805512820354526,25.405405892312565
245,43.63526736417457,11.108325916403858,0.0,46.96576231116025
246,0.0,18.23299897614363,0,16.702284447337895
247,0.0,24.30470125556303,58.17346624582145,30.978227274158534
248,29.73770419433894,0,0,21.767551044099225
249,0.0,0,37.72239864313899,26.596283332676073
250,0.0,11.233254688133286,23.965518571007905,32.25605807359268
251,0.0,36.45330867164428,0.0,16.250386416327366
252,0,8.982365789897623,43.808161891479415,19.587082280065
253,19.991661592410317,36.87415923301723,0.0,14.711782866311653
254,0.0,14.949086010907434,0.0,18.478179730162015
255,0.0,29.612428451111295,0.0,28.651970856284315
256,0.0,9.419930101521816,51.94309268420675,23.466982360893635
257,0.0,9.795268875977602,0,33.771307871345236
258,0.0,15.189462786619,28.290544493434336,31.050172631391742
259,0.0,32.589988072978386,50.949090221989366,36.83160394680909
260,40.403214917973024,8.683921476971443,37.609742744640315,36.38226237502201
261,0,17.901508161050238,43.94574760040522,31.77272418952259
262,0.0,0,0.0,38.79011231879135
263,0,10.025237893706153,23.78338972415767,15.01181375928401
264,31.10221332974225,0,0,28.143220721089026
265,0,0,40.34678636258616,18.71203289626768
266,32.87875681026941,0,0.0,24.292258214732616
267,0,10.927257687600344,26.121347519643017,34.286167536519656
268,0.0,39.887286083184904,30.24565045317039,26.481789690393494
269,54.80459365433551,5.319405477635868,22.797121497526867,14.991720798296715
270,0.0,12.34206162317678,0.0,31.51630253918316
271,12.425306780515264,15.961238228640774,26.77611938303311,22.35156250356794
272,0,11.29433733649336,0.0,27.098462905770578
273,0.0,33.36449036001795,0.0,15.36642700665243
274,24.884899950482335,32.2658461942426,38.247229724495625,25.100160511876197
275,29.97620064019884,21.726830031625653,0,22.782630512559454
276,26.07899574638386,0,0.0,24.373319754417356
277,7.241315330849809,24.42752102338419,0,30.951790681898103
278,31.854174001384077,34.82535860323915,0.0,25.899565471735677
279,32.46126018922725,52.89621278457812,19.176095687698492,26.9832792276813
280,0.0,22.523684207035206,51.50100246142114,19.64187031573399
281,0,31.511820303292502,20.486887938463035,13.62324194665064
282,0.0,7.904372499869153,30.809421919521984,25.35351350404286
283,0.0,21.225207999248784,0,15.598394079683455
284,0.0,15.899403950640764,31.45460250833909,19.548737234674253
285,0,18.24471807444021,0.0,13.78824851748494
286,26.77215757154036,20.472888100191636,41.18274026963989,21.73463593324709
287,0,12.552361551010392,53.71713185072517,23.84801542217019
288,0.0,20.808062068536938,42.06399186967216,26.6030912324903
289,0.0,16.234057914929426,0.0,31.758575706259066
290,40.687274458020326,0,42.49300595355009,21.385749356703432
291,0.0,31.12587102122683,0,25.711290047427042
292,0.0,31.023105332139682,0.0,30.708383456491116
293,0.29729305272300405,10.207153256648988,48.02084007939206,27.44486511754738
294,0.0,23.040860922980652,41.654668910061446,25.942441880438203
295,27.06191623334034,6.119434247269155,0.0,27.6313431344156
296,0.0,16.66718338609225,0.0,15.791034288561029
297,0.0,32.83884205717513,0.0,24.103578350967275
298,41.04705217421087,0,37.748272385076184,23.713826403490465
299,0,9.624203811766769,29.918416024445172,15.301700398138365
300,21.758930431653354,0,0,28.282350199841293
301,50.4281823364326,26.611527767625663,45.32439781169444,28.14042460080219
302,21.55362366511598,0,51.36444953808854,23.605679558788996
303,0.0,26.034284463465188,0.0,26.08320660705509
304,0.0,10.468298325108814,0,25.17094417621359
305,0.0,11.311062904345338,43.011965079180335,17.07342619850134
306,34.92372436068071,22.39388567030063,30.26708579245869,20.778152754679134
307,29.51279959013456,22.004983240443536,29.5657185254369,28.502962141548313
308,0.0,36.31918102236772,20.69892556276638,29.62958519348898
309,13.346095935579216,0,30.32892344316866,26.398333562667524
310,0,8.657414473477195,0,24.33832184598126
311,0.0,18.884742387492512,46.95819611202766,24.199488015222208
312,3.9935368918114507,29.99091581485226,19.25098483630731,25.75102123769434
313,29.08250393354636,15.049210727617668,47.96312761073609,14.632954243707115
314,0.0,11.262783489769612,0.0,13.497293482458634
315,0.0,24.03324895224061,0.0,33.908840175609555
316,0.0,13.699492887497271,0,35.20104465522381
317,0.0,11.638867193982115,44.13812106855453,22.525407676326434
318,0.0,12.308470667707773,39.180893023618566,24.183134219232105
319,0.0,23.926647206929758,20.00994730500686,20.18971718062639
320,0.0,38.232874039237785,0,27.19496570999657
321,11.121755313506156,0.0,24.197398070194602,29.924904658388584
322,0.0,15.139075345578055,0.0,31.087236307182295
323,0.0,20.112183965643837,32.82674240047762,27.231635904092798
324,58.38809588204331,21.864999891207603,24.697768643404395,5.168560007671895
325,0.0,14.649303366368892,0.0,19.605963452962968
326,18.9574760444035,19.33658393651765,21.445350631781555,30.37310922232227
327,29.224557761665103,36.65125955039934,38.87477994829345,25.235384090446836
328,0.0,21.374498012050324,36.34595686084067,13.980542615842786
329,0.0,0,73.07337181080487,24.444951503339386
330,10.279070798447137,19.58723725435763,0.0,35.568945883370404
331,0,4.4526859769444505,36.362803823803894,20.98796283353928
332,0.0,47.648232454265866,31.814535279823257,22.886086993749508
333,26.05495923555204,6.951039337166785,0,17.635370852261577
334,0.0,0,0.0,22.612847956280568
335,16.673261720731325,15.740149767668477,22.603191766748797,24.38743224422051
336,7.783269558573728,25.67567207491107,40.93375271031589,26.793792447693217
337,0.0,21.55588843796926,43.502752730635116,27.3573234474658
338,0.0,7.281899872793661,37.92131326540276,30.45938319483818
339,48.16621417894553,16.52614208466953,51.35349638013794,27.09893986315572
340,0.0,21.051023701672044,0.0,27.714019416758045
341,28.528932043564655,44.96165289527074,0.0,15.033416599489096
342,0,18.33205991619302,0,31.271206017884634
343,0.0,21.33165171038682,0.0,28.34564259790123
344,0.0,25.27397107221904,0.0,16.973574619956256
345,0.0,13.559507994674343,57.2708351975777,31.370984340545782
346,48.26749328058111,35.436014144017975,66.81181140928331,18.464034839786052
347,42.00976888162946,13.878870797570258,39.17778113949568,29.700133101085235
348,0.0,9.45047786008417,36.04232321519064,24.15239888133709
349,29.539010114268695,14.585279771860803,0.0,32.10128984593977
350,0.0,32.01374469331345,32.60054339528599,14.99548403052446
351,26.121183845254155,39.665554251998984,0,22.209868293720206
352,0.0,0,0.0,30.954891321353283
353,0.0,0,29.317922522219437,17.900280914351345
354,44.72826417462404,16.948349196822495,0.0,22.973858494469642
355,0.0,40.42295275778075,41.22386470810599,20.9933324867419
356,0.0,13.658662573261433,22.500950307936332,9.533997368261566
357,45.22562540060696,53.46099392255839,38.81572569111183,19.16559926619765
358,29.39014291329552,0,0,22.23644334707213
359,0.0,23.976200706852175,0.0,32.7466940412548
360,0.0,25.331119791937276,24.06396486357879,22.28762266631
361,0,14.771173281468606,0,21.184038261893516
362,0.0,29.59297318797394,0.0,17.078762913012795
363,0,26.876014672272905,0.0,31.927250475733914
364,0.0,29.718771806304513,0.0,29.953743536254073
365,0.0,34.83300541936997,52.605200008542944,19.967338714019448
366,0.0,24.160768118360988,31.09566833679877,27.488386398700204
367,0,16.993120517650283,62.52654802144843,29.7652002952962
368,27.518498297511062,6.584275857730403,41.64143864727739,19.41253319235539
369,8.020307346549334,25.29670140667868,0.0,24.069852893889475
370,0,0,42.78042827290422,34.51673724240108
371,0.0,24.386544736270523,0,24.98431283229676
372,23.23639525749763,10.141529193367342,0.0,27.38177379150029
373,36.172177034674334,22.35107348200792,32.610526973670325,27.105708100188362
374,0.0,17.438676214904206,30.047703294066924,12.833691147020163
375,0.0,23.220209866574294,72.52582976069303,22.606026888207765
376,0.0,33.46289411198802,0.0,12.751090430797296
377,19.46455364097205,23.733351983390275,21.184070853796353,34.996844552467145
378,0.0,37.14983571764118,19.867730908820484,40.08620607701084
379,0.0,19.690657650530607,47.15876059789723,19.88597153962959
380,0.0,21.99889676744391,31.42064029766043,27.61166713364082
381,7.281309107629237,27.817857194850603,0.0,26.827438953142106
382,0.0,28.845913945609038,0,22.147687739710094
383,0.0,22.81953709059219,0.0,16.986787148510604
384,31.14340445288722,47.94825528553771,42.16899806992247,31.36509735331594
385,0.0,10.66492032919037,39.784247277585116,0
386,25.090326973477577,32.146396872606005,35.61141266169039,14.16321030370461
387,22.283909480370095,52.70977082486579,26.583483249260254,20.43091468279196
388,0.0,18.612261786904487,33.037486063537514,21.658493127419998
389,0.0,15.108110619950864,37.63994130281072,20.622786814275976
390,0.0,16.765646893944893,0.0,27.341644534560885
391,0.0,15.439709216302305,0.0,20.14013599344092
392,0.0,41.33499721437144,0.0,25.35419243448682
393,58.91612644417258,11.224615370874641,44.111801784946685,9.48511552976727
394,0.0,11.29785766960988,26.96138969447969,19.473139365981535
395,29.398638220535577,13.386566180591434,50.50182374359111,6.382243770259988
